id,question,information_need,motivation,prior_familiarity,scope,answerable,adversarial_kind,required_sources,expected_sources,retrieved_sources,required_aspects,response,closed_book_response,correctness,graded_correctness,graded_correctness_score,covered_aspects,aspect_coverage,answer_relevance,claims,claim_count,graded_groundedness_score,faithfulness,citation_support_rate,chunk_attribution_score,source_hit_at_k,source_recall_at_k,source_precision_at_k,source_recall_strict,all_required_present,response_quote_count,quote_fidelity_rate,quote_attribution_accuracy,citation_count,citation_precision,unsupported_citation_rate,refusal_outcome,answer_latency_seconds,judge_latency_seconds,total_latency_seconds,input_tokens,output_tokens,total_tokens,estimated_cost_usd
G01,Name another Best Cinematographer Oscar winner besides Andrew Lesnie.,fact_lookup,conversation,unfamiliar,multi_document,True,,"[""Emmanuel_Lubezki.html""]","[""Emmanuel_Lubezki.html"", ""Andrew_Lesnie.html""]","[""Andrew_Lesnie.html"", ""Emmanuel_Lubezki.html"", ""List_of_Academy_Award_records.html""]","[""Emmanuel Lubezki is named as another Best Cinematography Oscar winner."", ""The answer is grounded in Lubezki's article rather than parametric recall.""]","Emmanuel Lubezki is another Best Cinematography Oscar winner. He won Best Cinematography for *Gravity* (2013), *Birdman* (2014), and *The Revenant* (2015). [Emmanuel_Lubezki.html]",Another Best Cinematographer Oscar winner is **John Seale**.,pass,complete,1.0,"[1, 2]",1.0,pass,"[{""text"": ""Emmanuel Lubezki is another Best Cinematography Oscar winner."", ""cited_source"": ""Emmanuel_Lubezki.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""He won Best Cinematography for Gravity (2013), Birdman (2014), and The Revenant (2015)."", ""cited_source"": ""Emmanuel_Lubezki.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",2,1.0,pass,1.0,0.5,1,1.0,0.6666666666666666,1.0,True,0,,,1,1.0,0.0,n/a,1.370399700012058,4.3442774001159705,6.467606300080661,111049,248,111297,0.08440275
G02,Who succeeded Barack Obama as president?,fact_lookup,conversation,familiar,multi_document,True,,"[""Barack_Obama.html""]","[""Barack_Obama.html"", ""Donald_Trump.html""]","[""Barack_Obama.html"", ""African-American_presidents_of_the_United_States_in_popular_culture.html"", ""President_of_the_United_States.html""]","[""Donald Trump is named as Obama's successor.""]",Donald Trump succeeded Barack Obama as president. [Barack_Obama.html] “Succeeded by | Donald Trump”,Donald Trump succeeded Barack Obama as President of the United States.,pass,complete,1.0,[1],1.0,pass,"[{""text"": ""Donald Trump succeeded Barack Obama as president."", ""cited_source"": ""Barack_Obama.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""The response cites the text “Succeeded by | Donald Trump” from the Barack Obama page."", ""cited_source"": ""Barack_Obama.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}]",2,1.0,pass,1.0,0.0,1,1.0,0.3333333333333333,1.0,True,1,1.0,1.0,1,1.0,0.0,n/a,2.0452074000495486,5.622091199969873,8.399090900027659,335201,195,335396,0.25227825
G03,Who succeeded Elizabeth II as monarch?,fact_lookup,conversation,familiar,multi_document,True,,"[""Elizabeth_II.html""]","[""Elizabeth_II.html"", ""Charles_III.html""]","[""Monarchy_of_the_United_Kingdom.html"", ""Elizabeth_II.html"", ""List_of_British_monarchs.html""]","[""Charles III is named as Elizabeth II's successor.""]","Charles III succeeded Elizabeth II as monarch. [Elizabeth_II.html] ""Successor | Charles III""",Charles III succeeded Elizabeth II as monarch.,pass,complete,1.0,[1],1.0,pass,"[{""text"": ""Charles III succeeded Elizabeth II as monarch"", ""cited_source"": ""Elizabeth_II.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}]",1,1.0,pass,1.0,0.0,1,1.0,0.3333333333333333,1.0,True,1,1.0,1.0,1,1.0,0.0,n/a,1.5150502999895252,4.093229799938854,6.357360599911772,205626,133,205759,0.154818
G04,Name another U.S. president besides Bill Clinton who was impeached.,fact_lookup,work_or_school,familiar,multi_document,True,,"[""Bill_Clinton.html""]","[""Bill_Clinton.html"", ""Donald_Trump.html""]","[""President_of_the_United_States.html"", ""Bill_Clinton.html"", ""Donald_Trump.html""]","[""Donald Trump or Andrew Johnson is named as another impeached president.""]",Another U.S. president who was impeached was Andrew Johnson [Bill_Clinton.html].,"Another U.S. president who was impeached was **Andrew Johnson**.  
(Also, **Donald Trump** was impeached twice.)",pass,complete,1.0,[1],1.0,pass,"[{""text"": ""Another U.S. president who was impeached was Andrew Johnson."", ""cited_source"": ""Bill_Clinton.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}]",1,1.0,pass,1.0,0.0,1,1.0,0.6666666666666666,1.0,True,0,,,1,1.0,0.0,n/a,2.033024200005457,7.682564900023863,10.630548600049224,476830,163,476993,0.358356
G05,Name another Best Picture-winning director besides Sam Mendes.,fact_lookup,conversation,unfamiliar,multi_document,True,,"[""Christopher_Nolan.html""]","[""Christopher_Nolan.html"", ""Steven_Spielberg.html"", ""James_Cameron.html"", ""Clint_Eastwood.html"", ""Anthony_Minghella.html"", ""Jonathan_Demme.html"", ""Kevin_Costner.html"", ""Robert_Zemeckis.html"", ""William_Wyler.html"", ""Sam_Mendes.html""]","[""Sam_Mendes.html"", ""List_of_Academy_Award_records.html"", ""Golden_Globe_Award_for_Best_Screenplay.html""]","[""At least one director other than Sam Mendes is named whose film won Best Picture."", ""The named director is one of the corpus members of the category.""]","One other Best Picture-winning director mentioned in the documents is Peter Jackson, who is listed as the director of *The Lord of the Rings: The Return of the King* and as a Best Picture winner [List_of_Academy_Award_records.html].",One example is **Steven Spielberg**.,pass,complete,1.0,"[1, 2]",1.0,pass,"[{""text"": ""Peter Jackson is one other Best Picture-winning director mentioned in the documents."", ""cited_source"": ""List_of_Academy_Award_records.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""Peter Jackson is listed as the director of *The Lord of the Rings: The Return of the King*."", ""cited_source"": ""List_of_Academy_Award_records.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""Peter Jackson is listed as a Best Picture winner."", ""cited_source"": ""List_of_Academy_Award_records.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",3,1.0,pass,1.0,1.0,0,0.0,0.3333333333333333,0.0,False,0,,,1,0.0,0.0,n/a,1.3522992000216618,4.476909999968484,6.6831059999531135,133821,284,134105,0.10164375
G06,Name another president besides Barack Obama who attended Harvard.,fact_lookup,work_or_school,familiar,multi_document,True,,"[""George_W._Bush.html""]","[""George_W._Bush.html"", ""Harvard_University.html"", ""Barack_Obama.html""]","[""Barack_Obama.html"", ""Harvard_University.html"", ""List_of_presidents_of_the_United_States_by_education.html""]","[""George W. Bush is named as another Harvard-educated president.""]","One other president who attended Harvard was John F. Kennedy; the Harvard University document lists him as a Harvard alumnus, and the presidents-by-education document notes that he intended to study at the London School of Economics but did not attend it. [Harvard_University.html] [List_of_presidents_of_the_United_States_by_education.html]",One other president who attended Harvard was **Theodore Roosevelt**.,fail,incorrect,0.0,[],0.0,pass,"[{""text"": ""One other president who attended Harvard was John F. Kennedy"", ""cited_source"": ""Harvard_University.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The Harvard University document lists John F. Kennedy as a Harvard alumnus"", ""cited_source"": ""Harvard_University.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The presidents-by-education document notes that John F. Kennedy intended to study at the London School of Economics but did not attend it"", ""cited_source"": ""List_of_presidents_of_the_United_States_by_education.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",3,1.0,pass,1.0,1.0,0,0.0,0.6666666666666666,0.0,False,0,,,2,0.5,0.0,n/a,1.7651876999880187,5.6263613999472,8.167397999903187,316024,308,316332,0.238404
G07,Name another president besides Bill Clinton who attended Yale.,fact_lookup,work_or_school,familiar,multi_document,True,,"[""George_W._Bush.html""]","[""George_W._Bush.html"", ""Yale_University.html"", ""Bill_Clinton.html"", ""Gerald_Ford.html""]","[""Yale_University.html"", ""List_of_presidents_of_the_United_States_by_education.html"", ""Bill_Clinton.html""]","[""George W. Bush (or Gerald Ford, George H. W. Bush or William Howard Taft) is named as another Yale-educated president.""]","George H. W. Bush attended Yale [Bill_Clinton.html]. The Yale document also says “Yale-educated presidents since the end of the Vietnam War include Gerald Ford, George H. W. Bush, Bill Clinton, and George W. Bush” [Yale_University.html].",George W. Bush also attended Yale.,pass,complete,1.0,[1],1.0,pass,"[{""text"": ""George H. W. Bush attended Yale."", ""cited_source"": ""Bill_Clinton.html"", ""grounded"": true, ""citation_supported"": false, ""attributable_to_retrieval"": false}, {""text"": ""The Yale document says that Yale-educated presidents since the end of the Vietnam War include Gerald Ford, George H. W. Bush, Bill Clinton, and George W. Bush."", ""cited_source"": ""Yale_University.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",2,1.0,pass,0.5,0.5,0,0.0,0.6666666666666666,0.0,False,1,1.0,0.0,2,1.0,0.0,n/a,2.4906904000090435,6.122527899977285,9.187916800030507,330164,242,330406,0.248712
G08,Which president served in both the 20th and 21st centuries?,fact_lookup,intrinsic_learning,unfamiliar,multi_document,True,,"[""Bill_Clinton.html""]","[""Bill_Clinton.html"", ""George_W._Bush.html"", ""Barack_Obama.html"", ""Ronald_Reagan.html"", ""Gerald_Ford.html"", ""Donald_Trump.html""]","[""France.html"", ""President_of_the_United_States.html"", ""Gothic_Revival_architecture.html""]","[""Bill Clinton is identified as the president whose term spanned both centuries."", ""The answer is grounded in the 1993-2001 term dates.""]","The documents do not say which president served in both the 20th and 21st centuries. The only president explicitly described as spanning that period in the provided documents is the U.S. president article’s discussion of presidents in the 21st century, but it does not identify a specific president as serving across both centuries [President_of_the_United_States.html].","The president who served in both the 20th and 21st centuries was **Bill Clinton**.

He served from **1993 to 2001**, so his presidency spanned both centuries.",fail,incorrect,0.0,[],0.0,pass,"[{""text"": ""The documents do not say which president served in both the 20th and 21st centuries."", ""cited_source"": ""President_of_the_United_States.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The only president explicitly described as spanning that period in the provided documents is the U.S. president article's discussion of presidents in the 21st century."", ""cited_source"": ""President_of_the_United_States.html"", ""grounded"": false, ""citation_supported"": true, ""attributable_to_retrieval"": null}, {""text"": ""That discussion does not identify a specific president as serving across both centuries."", ""cited_source"": ""President_of_the_United_States.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",3,0.6666666666666666,fail,1.0,1.0,0,0.0,0.0,0.0,False,0,,,1,0.0,0.0,n/a,2.6469424999668263,5.1155717999790795,8.986080399947241,341661,348,342009,0.25781175
G09,Give me five examples of current heads of state born before 1960.,overview,bored_random,unfamiliar,multi_document,False,unanswerable_from_corpus,"[""Charles_III.html"", ""Donald_Trump.html""]","[""Charles_III.html"", ""Donald_Trump.html""]","[""Sargent_Shriver.html"", ""President_of_the_United_States.html"", ""History_of_Formula_One.html""]","[""The response states that five current heads of state cannot be verified from the source material."", ""Any examples offered are individually grounded and caveated.""]","The provided documents do not contain a list of current heads of state or their birth dates, except for the U.S. president article, which gives no birth date for the current president [President_of_the_United_States.html]. So I can’t give five examples from these documents without guessing.","Here are five current heads of state who were born before 1960:

1. **Charles III** — King of the United Kingdom — born **1948**
2. **Naruhito** — Emperor of Japan — born **1960** *(not before 1960, so exclude if you want strictly before 1960)*
3. **Mohamed Ould Ghazouani** — President of Mauritania — born **1956**
4. **Emomali Rahmon** — President of Tajikistan — born **1952**
5. **Paul Biya** — President of Cameroon — born **1933**

If you want, I can give you a corrected list of five that all definitely satisfy “born before 1960.”",pass,substantially_complete,0.75,[1],0.5,pass,"[{""text"": ""The provided documents do not contain a list of current heads of state or their birth dates."", ""cited_source"": null, ""grounded"": true, ""citation_supported"": null, ""attributable_to_retrieval"": true}, {""text"": ""The U.S. president article gives no birth date for the current president."", ""cited_source"": ""President_of_the_United_States.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}, {""text"": ""The speaker cannot give five examples from these documents without guessing."", ""cited_source"": null, ""grounded"": false, ""citation_supported"": null, ""attributable_to_retrieval"": null}]",3,0.6666666666666666,fail,1.0,1.0,0,0.0,0.0,0.0,False,0,,,1,0.0,0.0,appropriate_refusal,2.0730233999784105,4.2000551999663,8.059349999937695,222187,423,222610,0.16854375
G10,Name two films by English directors that won Academy Awards.,fact_lookup,conversation,unfamiliar,multi_document,True,,"[""Sam_Mendes.html"", ""Christopher_Nolan.html""]","[""Sam_Mendes.html"", ""Christopher_Nolan.html""]","[""List_of_Academy_Award_records.html"", ""Clint_Eastwood.html"", ""BAFTA_Award_for_Best_Actor_in_a_Supporting_Role.html""]","[""American Beauty (Sam Mendes) is named as an Oscar-winning film by an English director."", ""Oppenheimer (Christopher Nolan) is named as an Oscar-winning film by an English director.""]","Two examples are **Unforgiven** and **The Bridge on the River Kwai**. *Unforgiven* won Best Picture and Best Director for Clint Eastwood [Clint_Eastwood.html], and *The Bridge on the River Kwai* is identified as the film for which David Lean became the first European to win Best Director [List_of_Academy_Award_records.html].","Two examples are:

- **Slumdog Millionaire** — directed by **Danny Boyle**; won multiple Academy Awards, including **Best Picture** and **Best Director**.
- **The Bridge on the River Kwai** — directed by **David Lean**; won several Academy Awards, including **Best Picture** and **Best Director**.

If you want, I can give you two more examples from different English directors.",fail,incorrect,0.0,[],0.0,pass,"[{""text"": ""Two examples are Unforgiven and The Bridge on the River Kwai."", ""cited_source"": null, ""grounded"": true, ""citation_supported"": null, ""attributable_to_retrieval"": false}, {""text"": ""Unforgiven won Best Picture and Best Director for Clint Eastwood."", ""cited_source"": ""Clint_Eastwood.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": false}, {""text"": ""The Bridge on the River Kwai is identified as the film for which David Lean became the first European to win Best Director."", ""cited_source"": ""List_of_Academy_Award_records.html"", ""grounded"": true, ""citation_supported"": true, ""attributable_to_retrieval"": true}]",3,1.0,pass,1.0,0.3333333333333333,0,0.0,0.0,0.0,False,0,,,2,0.0,0.0,n/a,1.7521100000012666,4.642333000025246,7.497077899985015,235812,389,236201,0.1786095
