id,question,retriever,required_sources,expected_sources,retrieved_sources,retrieved_units,unit_count,context_chars,evidence_recall,retrieval_trace,retrieval_latency_seconds,source_hit_at_k,source_recall_at_k,source_recall_at_3_articles,source_precision_at_k,chunk_precision_at_k,article_precision,unique_articles_retrieved,source_recall_strict,all_required_present
Q006,Compare how the Academy handled the introduction of the Best Animated Feature category with the way the Best Original Score category was split and then merged again in the 1990s.,chunks,"[""74th_Academy_Awards.html"", ""68th_Academy_Awards.html""]","[""74th_Academy_Awards.html"", ""68th_Academy_Awards.html"", ""Academy_Award_for_Best_Animated_Feature.html""]","[""68th_Academy_Awards.html"", ""Academy_Award_for_Best_Picture.html"", ""74th_Academy_Awards.html"", ""Grammy_Award_for_Best_Metal_Performance.html"", ""Academy_Award_for_Best_Animated_Feature.html"", ""Grammy_Award_for_Best_Hard_Rock_Performance.html""]","[{""unit_id"": ""68th_Academy_Awards.html#c00017-c00019"", ""source_file"": ""68th_Academy_Awards.html"", ""role"": ""primary"", ""score"": 1.0}, {""unit_id"": ""Academy_Award_for_Best_Picture.html#c00031-c00033"", ""source_file"": ""Academy_Award_for_Best_Picture.html"", ""role"": ""primary"", ""score"": 0.6485}, {""unit_id"": ""74th_Academy_Awards.html#c00017-c00019"", ""source_file"": ""74th_Academy_Awards.html"", ""role"": ""primary"", ""score"": 0.556}, {""unit_id"": ""Grammy_Award_for_Best_Metal_Performance.html#c00001-c00003"", ""source_file"": ""Grammy_Award_for_Best_Metal_Performance.html"", ""role"": ""primary"", ""score"": 0.3632}, {""unit_id"": ""Academy_Award_for_Best_Animated_Feature.html#c00000-c00001"", ""source_file"": ""Academy_Award_for_Best_Animated_Feature.html"", ""role"": ""primary"", ""score"": 0.3261}, {""unit_id"": ""Grammy_Award_for_Best_Hard_Rock_Performance.html#c00000-c00002"", ""source_file"": ""Grammy_Award_for_Best_Hard_Rock_Performance.html"", ""role"": ""primary"", ""score"": 0.2153}, {""unit_id"": ""Academy_Award_for_Best_Animated_Feature.html#c00002-c00003"", ""source_file"": ""Academy_Award_for_Best_Animated_Feature.html"", ""role"": ""primary"", ""score"": 0.2118}]",7,19813,0.8333333333333334,"{""child_chunk_ids"": [""3e8e548f009bb2b4-c00018"", ""7584ab2c6b497c73-c00032"", ""54cc717f4dc58b8c-c00018"", ""e9d4c0e8303401c9-c00002"", ""6a36616b15cd55c5-c00000"", ""6a36616b15cd55c5-c00001"", ""4859b115b846bd05-c00001"", ""6a36616b15cd55c5-c00002""], ""parent_units"": 7}",4.766410999989603,1,1.0,1.0,0.5714285714285714,0.5714285714285714,0.5,6,1.0,True
Q045,Compare the audience reactions and awards outcomes for the two films that lost Best Picture in the most talked-about upsets — the 2005 gay romance and the 2016 musical.,chunks,"[""Brokeback_Mountain.html"", ""89th_Academy_Awards.html""]","[""Brokeback_Mountain.html"", ""89th_Academy_Awards.html"", ""La_La_Land.html"", ""Academy_Award_for_Best_Picture.html"", ""Emma_Stone.html"", ""Ryan_Gosling.html""]","[""Academy_Award_for_Best_Picture.html"", ""Brokeback_Mountain.html"", ""La_La_Land.html"", ""List_of_Academy_Award_records.html""]","[{""unit_id"": ""Academy_Award_for_Best_Picture.html#c00028-c00030"", ""source_file"": ""Academy_Award_for_Best_Picture.html"", ""role"": ""primary"", ""score"": 0.8756}, {""unit_id"": ""Brokeback_Mountain.html#c00038-c00040"", ""source_file"": ""Brokeback_Mountain.html"", ""role"": ""primary"", ""score"": 0.6782}, {""unit_id"": ""Academy_Award_for_Best_Picture.html#c00032-c00034"", ""source_file"": ""Academy_Award_for_Best_Picture.html"", ""role"": ""primary"", ""score"": 0.5136}, {""unit_id"": ""La_La_Land.html#c00001-c00003"", ""source_file"": ""La_La_Land.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""List_of_Academy_Award_records.html#c00008-c00010"", ""source_file"": ""List_of_Academy_Award_records.html"", ""role"": ""primary"", ""score"": 0.4936}, {""unit_id"": ""Academy_Award_for_Best_Picture.html#c00068-c00070"", ""source_file"": ""Academy_Award_for_Best_Picture.html"", ""role"": ""primary"", ""score"": 0.4495}]",6,15746,0.25,"{""child_chunk_ids"": [""7584ab2c6b497c73-c00029"", ""d7cde549c7664d7f-c00039"", ""7584ab2c6b497c73-c00033"", ""c1ed16a211777eaf-c00002"", ""67142f28a712cfd6-c00009"", ""7584ab2c6b497c73-c00069"", ""7584ab2c6b497c73-c00070"", ""d7cde549c7664d7f-c00040""], ""parent_units"": 6}",2.500825499999337,1,0.5,0.5,0.8333333333333334,0.8333333333333334,0.75,4,0.0,False
Q049,Who won Best Actor at the 95th ceremony and what was notable about the whole nominee field that year?,chunks,"[""95th_Academy_Awards.html"", ""Brendan_Fraser.html""]","[""95th_Academy_Awards.html"", ""Brendan_Fraser.html"", ""Academy_Award_for_Best_Actor.html"", ""Austin_Butler.html"", ""Colin_Farrell.html"", ""Paul_Mescal.html"", ""Bill_Nighy.html""]","[""Academy_Award_for_Best_Supporting_Actor.html"", ""The_Wolf_of_Wall_Street_(2013_film).html"", ""Mark_Lee_(singer).html"", ""Academy_Award_for_Best_Actor.html"", ""89th_Academy_Awards.html"", ""85th_Academy_Awards.html"", ""95th_Academy_Awards.html"", ""74th_Academy_Awards.html""]","[{""unit_id"": ""Academy_Award_for_Best_Supporting_Actor.html#c00002-c00004"", ""source_file"": ""Academy_Award_for_Best_Supporting_Actor.html"", ""role"": ""primary"", ""score"": 0.5669}, {""unit_id"": ""The_Wolf_of_Wall_Street_(2013_film).html#c00002-c00004"", ""source_file"": ""The_Wolf_of_Wall_Street_(2013_film).html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""Mark_Lee_(singer).html#c00014-c00016"", ""source_file"": ""Mark_Lee_(singer).html"", ""role"": ""primary"", ""score"": 0.437}, {""unit_id"": ""Academy_Award_for_Best_Actor.html#c00002-c00004"", ""source_file"": ""Academy_Award_for_Best_Actor.html"", ""role"": ""primary"", ""score"": 0.43}, {""unit_id"": ""89th_Academy_Awards.html#c00000-c00002"", ""source_file"": ""89th_Academy_Awards.html"", ""role"": ""primary"", ""score"": 0.4285}, {""unit_id"": ""85th_Academy_Awards.html#c00003-c00005"", ""source_file"": ""85th_Academy_Awards.html"", ""role"": ""primary"", ""score"": 0.4199}, {""unit_id"": ""95th_Academy_Awards.html#c00000-c00001"", ""source_file"": ""95th_Academy_Awards.html"", ""role"": ""primary"", ""score"": 0.3896}, {""unit_id"": ""74th_Academy_Awards.html#c00003-c00005"", ""source_file"": ""74th_Academy_Awards.html"", ""role"": ""primary"", ""score"": 0.3808}]",8,20891,0.0,"{""child_chunk_ids"": [""f4e49e2bb44a4357-c00003"", ""22662e147b40523a-c00003"", ""a5b20f1a2caeafe7-c00015"", ""599ff25cc439b524-c00003"", ""86da3fa9f040ab84-c00001"", ""f03136cff601fca1-c00004"", ""110a1f26b577e6e7-c00000"", ""54cc717f4dc58b8c-c00004""], ""parent_units"": 8}",2.0041670999489725,1,0.5,0.0,0.25,0.25,0.25,8,0.0,False
Q019,"How did the director of La La Land get his start, and what connects his college years to that film's music?",chunks,"[""La_La_Land.html"", ""Damien_Chazelle.html""]","[""La_La_Land.html"", ""Damien_Chazelle.html""]","[""La_La_Land.html"", ""Damien_Chazelle.html"", ""Whiplash_(2014_film).html""]","[{""unit_id"": ""La_La_Land.html#c00010-c00012"", ""source_file"": ""La_La_Land.html"", ""role"": ""primary"", ""score"": 0.8152}, {""unit_id"": ""Damien_Chazelle.html#c00005-c00007"", ""source_file"": ""Damien_Chazelle.html"", ""role"": ""primary"", ""score"": 0.6664}, {""unit_id"": ""Whiplash_(2014_film).html#c00007-c00009"", ""source_file"": ""Whiplash_(2014_film).html"", ""role"": ""primary"", ""score"": 0.516}, {""unit_id"": ""La_La_Land.html#c00023-c00025"", ""source_file"": ""La_La_Land.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""La_La_Land.html#c00066-c00068"", ""source_file"": ""La_La_Land.html"", ""role"": ""primary"", ""score"": 0.4823}, {""unit_id"": ""La_La_Land.html#c00013-c00014"", ""source_file"": ""La_La_Land.html"", ""role"": ""primary"", ""score"": 0.4726}, {""unit_id"": ""Damien_Chazelle.html#c00001-c00003"", ""source_file"": ""Damien_Chazelle.html"", ""role"": ""primary"", ""score"": 0.4692}]",7,19257,1.0,"{""child_chunk_ids"": [""c1ed16a211777eaf-c00011"", ""4865f8c7e43f6193-c00006"", ""4aa6ccf4b6069bcc-c00008"", ""c1ed16a211777eaf-c00024"", ""c1ed16a211777eaf-c00067"", ""c1ed16a211777eaf-c00010"", ""c1ed16a211777eaf-c00013"", ""4865f8c7e43f6193-c00002""], ""parent_units"": 7}",2.062441999965813,1,1.0,1.0,0.8571428571428571,0.8571428571428571,0.6666666666666666,3,1.0,True
Q072,What is the highest-grossing film of all time?,chunks,"[""Titanic_(1997_film).html""]","[""Titanic_(1997_film).html"", ""List_of_Academy_Award_records.html"", ""James_Cameron.html"", ""Avatar_(2009_film).html""]","[""Harry_Potter_(film_series).html"", ""Avatar_(2009_film).html"", ""The_Lion_King.html"", ""The_Lord_of_the_Rings__The_Return_of_the_King.html"", ""List_of_1995_box_office_number-one_films_in_the_United_States.html"", ""E.T._the_Extra-Terrestrial.html"", ""Titanic_(1997_film).html""]","[{""unit_id"": ""Harry_Potter_(film_series).html#c00001-c00003"", ""source_file"": ""Harry_Potter_(film_series).html"", ""role"": ""primary"", ""score"": 0.6732}, {""unit_id"": ""Avatar_(2009_film).html#c00033-c00035"", ""source_file"": ""Avatar_(2009_film).html"", ""role"": ""primary"", ""score"": 0.613}, {""unit_id"": ""The_Lion_King.html#c00042-c00044"", ""source_file"": ""The_Lion_King.html"", ""role"": ""primary"", ""score"": 0.6021}, {""unit_id"": ""The_Lion_King.html#c00002-c00004"", ""source_file"": ""The_Lion_King.html"", ""role"": ""primary"", ""score"": 0.5551}, {""unit_id"": ""The_Lord_of_the_Rings__The_Return_of_the_King.html#c00041-c00043"", ""source_file"": ""The_Lord_of_the_Rings__The_Return_of_the_King.html"", ""role"": ""primary"", ""score"": 0.5209}, {""unit_id"": ""List_of_1995_box_office_number-one_films_in_the_United_States.html#c00005-c00007"", ""source_file"": ""List_of_1995_box_office_number-one_films_in_the_United_States.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""E.T._the_Extra-Terrestrial.html#c00030-c00032"", ""source_file"": ""E.T._the_Extra-Terrestrial.html"", ""role"": ""primary"", ""score"": 0.4986}, {""unit_id"": ""Titanic_(1997_film).html#c00002-c00004"", ""source_file"": ""Titanic_(1997_film).html"", ""role"": ""primary"", ""score"": 0.4142}]",8,22592,0.0,"{""child_chunk_ids"": [""e58833efd7cd746a-c00002"", ""d5a409e9d5854512-c00034"", ""e9be774ce71669cb-c00043"", ""e9be774ce71669cb-c00003"", ""a99b8a458e7a973f-c00042"", ""9b714096558cb313-c00006"", ""00ab2e20219dcb56-c00031"", ""3e797fb69056928c-c00003""], ""parent_units"": 8}",1.0845330000156537,1,1.0,0.0,0.25,0.25,0.2857142857142857,7,1.0,True
Q080,Tell me about Anthony Minghella — what did he win and what happened at the Oscars after his death?,chunks,"[""Anthony_Minghella.html"", ""Academy_Award_for_Best_Picture.html""]","[""Anthony_Minghella.html"", ""Academy_Award_for_Best_Picture.html""]","[""Anthony_Minghella.html"", ""Midnight_in_the_Garden_of_Good_and_Evil.html"", ""Gus_Van_Sant.html"", ""Steve_Jobs.html""]","[{""unit_id"": ""Anthony_Minghella.html#c00000-c00001"", ""source_file"": ""Anthony_Minghella.html"", ""role"": ""primary"", ""score"": 0.8227}, {""unit_id"": ""Anthony_Minghella.html#c00020-c00022"", ""source_file"": ""Anthony_Minghella.html"", ""role"": ""primary"", ""score"": 0.7651}, {""unit_id"": ""Midnight_in_the_Garden_of_Good_and_Evil.html#c00004-c00006"", ""source_file"": ""Midnight_in_the_Garden_of_Good_and_Evil.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""Anthony_Minghella.html#c00006-c00008"", ""source_file"": ""Anthony_Minghella.html"", ""role"": ""primary"", ""score"": 0.4677}, {""unit_id"": ""Anthony_Minghella.html#c00015-c00017"", ""source_file"": ""Anthony_Minghella.html"", ""role"": ""primary"", ""score"": 0.4375}, {""unit_id"": ""Gus_Van_Sant.html#c00010-c00012"", ""source_file"": ""Gus_Van_Sant.html"", ""role"": ""primary"", ""score"": 0.4371}, {""unit_id"": ""Steve_Jobs.html#c00077-c00079"", ""source_file"": ""Steve_Jobs.html"", ""role"": ""primary"", ""score"": 0.4316}]",7,18895,0.0,"{""child_chunk_ids"": [""c31b0dd580459bb4-c00000"", ""c31b0dd580459bb4-c00021"", ""999c77a6809a9722-c00005"", ""c31b0dd580459bb4-c00007"", ""c31b0dd580459bb4-c00016"", ""c678c96e1784788f-c00011"", ""89e776ac849fe224-c00078"", ""c31b0dd580459bb4-c00020""], ""parent_units"": 7}",1.7669546999968588,1,0.5,0.5,0.5714285714285714,0.5714285714285714,0.25,4,0.0,False
Q003,"Compare the Academy Awards ceremonies held a decade apart: who hosted the 85th and 95th ceremonies, and which film won Best Picture at each?",chunks,"[""85th_Academy_Awards.html"", ""95th_Academy_Awards.html""]","[""85th_Academy_Awards.html"", ""95th_Academy_Awards.html""]","[""Academy_Award_for_Best_Picture.html"", ""Academy_Award_for_Best_Production_Design.html"", ""List_of_awards_and_nominations_received_by_Steven_Spielberg.html"", ""Academy_Award_for_Best_Actor.html"", ""Academy_Award_for_Best_Director.html"", ""Academy_Award_for_Best_Supporting_Actor.html"", ""Academy_Award_for_Best_Animated_Feature.html""]","[{""unit_id"": ""Academy_Award_for_Best_Picture.html#c00000-c00001"", ""source_file"": ""Academy_Award_for_Best_Picture.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""Academy_Award_for_Best_Production_Design.html#c00033-c00035"", ""source_file"": ""Academy_Award_for_Best_Production_Design.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""List_of_awards_and_nominations_received_by_Steven_Spielberg.html#c00019-c00021"", ""source_file"": ""List_of_awards_and_nominations_received_by_Steven_Spielberg.html"", ""role"": ""primary"", ""score"": 0.4892}, {""unit_id"": ""Academy_Award_for_Best_Actor.html#c00039-c00041"", ""source_file"": ""Academy_Award_for_Best_Actor.html"", ""role"": ""primary"", ""score"": 0.4105}, {""unit_id"": ""Academy_Award_for_Best_Director.html#c00039-c00041"", ""source_file"": ""Academy_Award_for_Best_Director.html"", ""role"": ""primary"", ""score"": 0.3577}, {""unit_id"": ""Academy_Award_for_Best_Supporting_Actor.html#c00038-c00040"", ""source_file"": ""Academy_Award_for_Best_Supporting_Actor.html"", ""role"": ""primary"", ""score"": 0.3534}, {""unit_id"": ""Academy_Award_for_Best_Director.html#c00043-c00045"", ""source_file"": ""Academy_Award_for_Best_Director.html"", ""role"": ""primary"", ""score"": 0.3463}, {""unit_id"": ""Academy_Award_for_Best_Animated_Feature.html#c00030-c00032"", ""source_file"": ""Academy_Award_for_Best_Animated_Feature.html"", ""role"": ""primary"", ""score"": 0.3355}]",8,20946,0.0,"{""child_chunk_ids"": [""7584ab2c6b497c73-c00000"", ""b51c20e390fe1693-c00034"", ""198df6a3abe7cc47-c00020"", ""599ff25cc439b524-c00040"", ""7e14c0ec0e7bf7d7-c00040"", ""f4e49e2bb44a4357-c00039"", ""7e14c0ec0e7bf7d7-c00044"", ""6a36616b15cd55c5-c00031""], ""parent_units"": 8}",1.76615480001783,0,0.0,0.0,0.0,0.0,0.0,7,0.0,False
Q005,"For each of the 1996, 2004, and 2008 Summer Olympics, list every city mentioned as having submitted a bid but not winning that edition's hosting contest.",chunks,"[""1996_Summer_Olympics.html"", ""2004_Summer_Olympics.html"", ""2008_Summer_Olympics.html""]","[""1996_Summer_Olympics.html"", ""2004_Summer_Olympics.html"", ""2008_Summer_Olympics.html""]","[""1996_Summer_Olympics.html"", ""2008_Summer_Olympics.html"", ""1984_Summer_Olympics.html"", ""2004_Summer_Olympics.html"", ""2012_Summer_Olympics.html"", ""Australia_at_the_Olympics.html"", ""List_of_Olympic_Games_host_cities.html""]","[{""unit_id"": ""1996_Summer_Olympics.html#c00046-c00048"", ""source_file"": ""1996_Summer_Olympics.html"", ""role"": ""primary"", ""score"": 0.5748}, {""unit_id"": ""2008_Summer_Olympics.html#c00006-c00008"", ""source_file"": ""2008_Summer_Olympics.html"", ""role"": ""primary"", ""score"": 0.5435}, {""unit_id"": ""1984_Summer_Olympics.html#c00002-c00004"", ""source_file"": ""1984_Summer_Olympics.html"", ""role"": ""primary"", ""score"": 0.5272}, {""unit_id"": ""2004_Summer_Olympics.html#c00002-c00004"", ""source_file"": ""2004_Summer_Olympics.html"", ""role"": ""primary"", ""score"": 0.5143}, {""unit_id"": ""2012_Summer_Olympics.html#c00002-c00004"", ""source_file"": ""2012_Summer_Olympics.html"", ""role"": ""primary"", ""score"": 0.5061}, {""unit_id"": ""Australia_at_the_Olympics.html#c00034-c00036"", ""source_file"": ""Australia_at_the_Olympics.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""List_of_Olympic_Games_host_cities.html#c00000-c00001"", ""source_file"": ""List_of_Olympic_Games_host_cities.html"", ""role"": ""primary"", ""score"": 0.3782}, {""unit_id"": ""List_of_Olympic_Games_host_cities.html#c00005-c00007"", ""source_file"": ""List_of_Olympic_Games_host_cities.html"", ""role"": ""primary"", ""score"": 0.374}]",8,21748,0.3333333333333333,"{""child_chunk_ids"": [""170433dfdcecde6c-c00047"", ""b050dab4972144e0-c00007"", ""f758641f89dc68b7-c00003"", ""1fdd42c401067e31-c00003"", ""0825e4a78793431f-c00003"", ""6a84d9c001b570d2-c00035"", ""8c1929851266f807-c00000"", ""8c1929851266f807-c00006""], ""parent_units"": 8}",1.814304900006391,1,1.0,0.6666666666666666,0.375,0.375,0.42857142857142855,7,1.0,True
Q009,"The author who won the Nobel Prize in Literature the same year a magnitude-9 earthquake struck Alaska initially refused the honor — who was he, and why did he decline?",chunks,"[""1964_Nobel_Prize_in_Literature.html"", ""1964_Alaska_earthquake.html""]","[""1964_Nobel_Prize_in_Literature.html"", ""1964_Alaska_earthquake.html""]","[""Nobel_Prize.html"", ""List_of_Nobel_laureates_in_Physics.html"", ""1964_Nobel_Prize_in_Literature.html"", ""John_Bardeen.html"", ""Nobel_Peace_Prize.html"", ""Albert_Einstein.html""]","[{""unit_id"": ""Nobel_Prize.html#c00048-c00050"", ""source_file"": ""Nobel_Prize.html"", ""role"": ""primary"", ""score"": 0.7388}, {""unit_id"": ""List_of_Nobel_laureates_in_Physics.html#c00000-c00002"", ""source_file"": ""List_of_Nobel_laureates_in_Physics.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""1964_Nobel_Prize_in_Literature.html#c00000-c00002"", ""source_file"": ""1964_Nobel_Prize_in_Literature.html"", ""role"": ""primary"", ""score"": 0.5}, {""unit_id"": ""John_Bardeen.html#c00011-c00013"", ""source_file"": ""John_Bardeen.html"", ""role"": ""primary"", ""score"": 0.3591}, {""unit_id"": ""Nobel_Peace_Prize.html#c00001-c00003"", ""source_file"": ""Nobel_Peace_Prize.html"", ""role"": ""primary"", ""score"": 0.3588}, {""unit_id"": ""Nobel_Prize.html#c00044-c00046"", ""source_file"": ""Nobel_Prize.html"", ""role"": ""primary"", ""score"": 0.3541}, {""unit_id"": ""Albert_Einstein.html#c00081-c00083"", ""source_file"": ""Albert_Einstein.html"", ""role"": ""primary"", ""score"": 0.2809}]",7,22738,0.75,"{""child_chunk_ids"": [""3e63e207c636cf56-c00049"", ""d0ab527c61d96461-c00001"", ""2383c385675d1e75-c00001"", ""1cde5d8da7ccbdc5-c00012"", ""4d3f2b122f3bad0b-c00002"", ""2383c385675d1e75-c00000"", ""3e63e207c636cf56-c00045"", ""81ed86f1f706c67e-c00082""], ""parent_units"": 7}",2.2805330000119284,1,0.5,0.5,0.14285714285714285,0.14285714285714285,0.16666666666666666,6,0.0,False
Q014,"In the IOC vote that awarded the 1992 Winter Games, which two cities tied and were sent to a run-off, what were their run-off vote totals, and which city was eliminated after the very first round?",chunks,"[""1992_Winter_Olympics.html""]","[""1992_Winter_Olympics.html""]","[""2004_Summer_Olympics.html"", ""2020_Summer_Olympics.html"", ""1972_Winter_Olympics.html"", ""1992_Winter_Olympics.html"", ""1988_Winter_Olympics.html"", ""List_of_Olympic_Games_host_cities.html"", ""Australia_at_the_Olympics.html""]","[{""unit_id"": ""2004_Summer_Olympics.html#c00004-c00006"", ""source_file"": ""2004_Summer_Olympics.html"", ""role"": ""primary"", ""score"": 0.977}, {""unit_id"": ""2020_Summer_Olympics.html#c00005-c00007"", ""source_file"": ""2020_Summer_Olympics.html"", ""role"": ""primary"", ""score"": 0.5563}, {""unit_id"": ""1972_Winter_Olympics.html#c00000-c00002"", ""source_file"": ""1972_Winter_Olympics.html"", ""role"": ""primary"", ""score"": 0.5145}, {""unit_id"": ""1992_Winter_Olympics.html#c00003-c00005"", ""source_file"": ""1992_Winter_Olympics.html"", ""role"": ""primary"", ""score"": 0.5113}, {""unit_id"": ""1988_Winter_Olympics.html#c00007-c00009"", ""source_file"": ""1988_Winter_Olympics.html"", ""role"": ""primary"", ""score"": 0.4571}, {""unit_id"": ""List_of_Olympic_Games_host_cities.html#c00004-c00006"", ""source_file"": ""List_of_Olympic_Games_host_cities.html"", ""role"": ""primary"", ""score"": 0.3275}, {""unit_id"": ""1988_Winter_Olympics.html#c00003-c00005"", ""source_file"": ""1988_Winter_Olympics.html"", ""role"": ""primary"", ""score"": 0.3092}, {""unit_id"": ""Australia_at_the_Olympics.html#c00008-c00010"", ""source_file"": ""Australia_at_the_Olympics.html"", ""role"": ""primary"", ""score"": 0.2848}]",8,19439,1.0,"{""child_chunk_ids"": [""1fdd42c401067e31-c00005"", ""708478617d20db02-c00006"", ""98fa9cf3765ac4bc-c00001"", ""588d0cca324541cf-c00004"", ""1b17b73a2024e911-c00008"", ""8c1929851266f807-c00005"", ""1b17b73a2024e911-c00004"", ""6a84d9c001b570d2-c00009""], ""parent_units"": 8}",3.1111856999923475,1,1.0,0.0,0.125,0.125,0.14285714285714285,7,1.0,True
